circle 
1.00000 0.00000
0.99960 0.01999
0.99840 0.03996
0.99640 0.05986
0.99361 0.07966
0.99003 0.09933
0.98567 0.11885
0.98053 0.13818
0.97462 0.15728
0.96795 0.17614
0.96053 0.19471
0.95238 0.21297
0.94350 0.23089
0.93391 0.24844
0.92363 0.26559
0.91267 0.28232
0.90105 0.29860
0.88879 0.31440
0.87590 0.32969
0.86242 0.34446
0.84835 0.35868
0.83373 0.37232
0.81858 0.38537
0.80291 0.39780
0.78676 0.40960
0.77015 0.42074
0.75311 0.43120
0.73566 0.44098
0.71784 0.45005
0.69967 0.45840
0.68118 0.46602
0.66240 0.47289
0.64336 0.47901
0.62409 0.48436
0.60462 0.48893
0.58498 0.49272
0.56521 0.49573
0.54534 0.49794
0.52539 0.49936
0.50540 0.49997
0.48540 0.49979
0.46543 0.49880
0.44551 0.49702
0.42567 0.49444
0.40596 0.49108
0.38640 0.48692
0.36702 0.48199
0.34785 0.47629
0.32893 0.46982
0.31027 0.46261
0.29193 0.45465
0.27391 0.44596
0.25626 0.43657
0.23900 0.42647
0.22215 0.41569
0.20575 0.40425
0.18982 0.39216
0.17439 0.37944
0.15947 0.36612
0.14510 0.35221
0.13130 0.33773
0.11809 0.32272
0.10549 0.30719
0.09352 0.29117
0.08221 0.27468
0.07156 0.25775
0.06159 0.24041
0.05233 0.22269
0.04378 0.20461
0.03596 0.18620
0.02889 0.16749
0.02257 0.14852
0.01701 0.12931
0.01223 0.10989
0.00822 0.09030
0.00500 0.07056
0.00258 0.05071
0.00095 0.03078
0.00012 0.01080
0.00008 -0.00920
0.00085 -0.02919
0.00242 -0.04912
0.00478 -0.06898
0.00794 -0.08873
0.01188 -0.10834
0.01660 -0.12777
0.02210 -0.14700
0.02836 -0.16599
0.03537 -0.18472
0.04313 -0.20315
0.05162 -0.22126
0.06083 -0.23901
0.07074 -0.25638
0.08133 -0.27335
0.09260 -0.28987
0.10452 -0.30593
0.11707 -0.32150
0.13023 -0.33656
0.14398 -0.35107
0.15831 -0.36503
0.17318 -0.37840
0.18857 -0.39117
0.20446 -0.40331
0.22083 -0.41480
0.23764 -0.42564
0.25487 -0.43579
0.27249 -0.44524
0.29048 -0.45398
0.30880 -0.46200
0.32743 -0.46928
0.34633 -0.47580
0.36548 -0.48157
0.38485 -0.48656
0.40440 -0.49078
0.42410 -0.49421
0.44392 -0.49685
0.46384 -0.49869
0.48381 -0.49974
0.50381 -0.49999
0.52380 -0.49943
0.54375 -0.49808
0.56363 -0.49593
0.58341 -0.49299
0.60306 -0.48926
0.62254 -0.48475
0.64183 -0.47946
0.66089 -0.47341
0.67969 -0.46659
0.69821 -0.45904
0.71641 -0.45074
0.73426 -0.44173
0.75174 -0.43201
0.76881 -0.42159
0.78545 -0.41051
0.80164 -0.39876
0.81735 -0.38638
0.83254 -0.37338
0.84721 -0.35979
0.86132 -0.34561
0.87485 -0.33089
0.88778 -0.31563
0.90009 -0.29987
0.91177 -0.28363
0.92278 -0.26694
0.93312 -0.24982
0.94276 -0.23230
0.95170 -0.21441
0.95991 -0.19618
0.96738 -0.17763
0.97411 -0.15879
0.98009 -0.13971
0.98529 -0.12040
0.98971 -0.10090
0.99336 -0.08123
0.99621 -0.06144
0.99827 -0.04154
0.99953 -0.02159
1.00000 -0.00159
